,Gene,Disease
47334,long-acting natriuretic peptide,
47335,natriuretic peptides a,
47336,nppa,ORPHA:1344
47337,pnd,
47338,preproanp,
47339,preprocdd-anf,
47340,proanf,
47341,proanf 1-30,
47342,proanf 31-67,
47343,proanf 79-98,
47344,proanf 99-126,
47345,proanp,
47346,proanp 1-30,
47347,proanp 31-67,
47348,proanp 79-98,
47349,proanp 95-126,
47350,pro atrial natriuretic factor 1-30,
47351,pro atrial natriuretic factor 31-67,
47352,pro atrial natriuretic factor 79-98,
47353,pro atrial natriuretic factor 99-126,
47354,pro atrial natriuretic peptide 1-30,
47355,pro atrial natriuretic peptide 31-67,
47356,pro atrial natriuretic peptide 79-98,
47357,pro atrial natriuretic peptide 95-126,
47358,uro,
47359,urodilatin,
47360,vessel dilator,
47361,vsdl,
47362,2.7.11.22,
47363,cdk14,
47364,cell division protein kinase 14,
47365,cyclin-dependent kinase 14,
47366,hpftaire1,
47367,kiaa0834,
47368,pftk1,
47369,serine/threonine-protein kinase pftaire-1,
47370,1.13.11.-,
47371,1.13.11.31,
47372,1.13.11.33,
47373,12lo,
47374,12s-lipoxygenase,
47375,12s-lox,
47376,3.3.2.-,
47377,alox12,
47378,arachidonate (12s)-lipoxygenase,
47379,arachidonate (15s)-lipoxygenase,
47380,linoleate (13s)-lipoxygenase,
47381,lipoxin synthase 12-lo,
47382,log12,
47383,platelet-type lipoxygenase 12,
47384,polyunsaturated fatty acid lipoxygenase alox12,
47385,6.2.1.45,
47386,a1s9t,
47387,protein a1s9,
47388,uba1,ORPHA:1145
47389,ube1,
47390,ubiquitin-activating enzyme e1,
47391,ubiquitin-like modifier-activating enzyme 1,
47392,2.7.10.1,
47393,cak,
47394,cd167 antigen-like family member a,
47395,cd_antigen=cd167a,
47396,cell adhesion kinase,
47397,ddr1,
47398,discoidin receptor tyrosine kinase,
47399,eddr1,
47400,epithelial discoidin domain-containing receptor 1,
47401,epithelial discoidin domain receptor 1,
47402,hgk2,
47403,mammary carcinoma kinase 10,
47404,mck-10,
47405,nep,
47406,ntrk4,
47407,protein-tyrosine kinase 3a,
47408,protein-tyrosine kinase rtk-6,
47409,ptk3a,
47410,rtk6,
47411,trke,
47412,trk e,
47413,tyrosine kinase ddr,
47414,tyrosine-protein kinase cak,
47415,crbn,ORPHA:88616
47416,protein cereblon,
47417,3.4.21.5,
47418,activation peptide fragment 1,
47419,activation peptide fragment 2,
47420,coagulation factor ii,
47421,f2,ORPHA:64738
47422,prothrombin,
47423,thrombin heavy chain,
47424,thrombin light chain,
47425,3.4.21.4,
47426,alpha-trypsin chain 1,
47427,alpha-trypsin chain 2,
47428,anionic trypsin i,
47429,anionic trypsin-i,
47430,beta-trypsin,
47431,cationic trypsinogen,
47432,pretrypsinogen i,
47433,prss1,ORPHA:676
47434,serine protease 1,
47435,synonyms=trp1,
47436,trp1,
47437,try1,
47438,tryp1,
47439,trypsin-1,
47440,trypsin i,
47441,3.4.21.4,
47442,anionic trypsinogen,
47443,prss2,ORPHA:676
47444,serine protease 2,
47445,try2,
47446,tryp2,
47447,trypsin-2,
47448,trypsin ii,
47449,3.4.21.4,
47450,brain trypsinogen,
47451,mesotrypsin,
47452,mesotrypsinogen,
47453,prss3,
47454,prss4,
47455,serine protease 3,
47456,serine protease 4,
47457,try3,
47458,try4,
47459,trypsin-3,
47460,trypsin iii,
47461,trypsin iv,
47462,hmop,
47463,mop,
47464,mor1,
47465,m-or-1,
47466,mor-1,
47467,mu opiate receptor,
47468,mu opioid receptor,
47469,mu-type opioid receptor,
47470,oprm1,
47471,2.5.1.58,
47472,2.5.1.59,
47473,caax farnesyltransferase subunit alpha,
47474,fnta,
47475,ftase-alpha,
47476,ggtase-i-alpha,
47477,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,
47478,ras proteins prenyltransferase subunit alpha,
47479,type i protein geranyl-geranyltransferase subunit alpha,
47480,4.2.1.1,
47481,ca4,ORPHA:791
47482,ca-iv,
47483,carbonate dehydratase iv,
47484,carbonic anhydrase 4,
47485,carbonic anhydrase iv,
47486,2.7.10.1,
47487,angiopoietin-1 receptor,
47488,cd_antigen=cd202b,
47489,endothelial tyrosine kinase,
47490,htie2,
47491,p140 tek,
47492,synonyms=tie2,
47493,tek,ORPHA:2451
47494,tie2,
47495,tunica interna endothelial cell kinase,
47496,tyrosine kinase with ig and egf homology domains-2,
47497,tyrosine-protein kinase receptor tek,
47498,tyrosine-protein kinase receptor tie-2,
47499,vmcm,
47500,vmcm1,
47501,2.7.1.1,
47502,gck,ORPHA:79299
47503,glucokinase,
47504,hexokinase-4,
47505,hexokinase-d,
47506,hexokinase type iv,
47507,hk4,
47508,hk iv,
47509,55 kda actin-bundling protein,
47510,fan1,ORPHA:401996
47511,fascin,
47512,fscn1,
47513,hsn,
47514,p55,
47515,singed-like protein,
47516,snl,
47517,ogfrl1,
47518,opioid growth factor receptor-like protein 1,
47519,1.1.1.27,
47520,hel-s-133p,
47521,l-lactate dehydrogenase,
47522,m-phase phosphoprotein 8,
47523,mphosph8,
47524,mpp8,
47525,twa3,
47526,two hybrid-associated protein 3 with ranbpm,
47527,lsm12,
47528,protein lsm12,
47529,epithelial splicing regulatory protein 1,
47530,esrp1,OMIM:618013
47531,rbm35a,
47532,rna-binding motif protein 35a,
47533,rna-binding protein 35a,
47534,gpr34,
47535,probable g-protein coupled receptor 34,
47536,3.4.21.-,
47537,hepatocyte growth factor activator,
47538,hepatocyte growth factor activator long chain,
47539,hepatocyte growth factor activator short chain,
47540,hgfa,
47541,hgfac,
47542,hgf activator,
47543,3.5.1.-,
47544,3.5.1.98,
47545,hd3,
47546,hdac3,
47547,histone deacetylase 3,
47548,protein deacetylase hdac3,
47549,protein deacylase hdac3,
47550,rpd3-2,
47551,smap45,
47552,3.5.1.-,
47553,3.5.1.98,
47554,hd6,
47555,hdac6,ORPHA:163966
47556,histone deacetylase 6,
47557,kiaa0901 ,
47558,tubulin-lysine deacetylase hdac6,
47559,cytokine p40,
47560,il9,
47561,il-9,
47562,interleukin-9,
47563,t-cell growth factor p40,
47564,cd11a,
47565,cd11 antigen-like family member a,
47566,cd_antigen=cd11a,
47567,integrin alpha-l,
47568,itgal,
47569,leukocyte adhesion glycoprotein lfa-1 alpha chain,
47570,leukocyte function-associated molecule 1 alpha chain,
47571,lfa-1a,
47572,cd_antigen=cd54,
47573,icam1,OMIM:611162
47574,icam-1,
47575,intercellular adhesion molecule 1,
47576,major group rhinovirus receptor,
47577,cd18,
47578,cd_antigen=cd18,
47579,"cell surface adhesion glycoproteins lfa-1/cr3/p150,95 subunit beta",
47580,complement receptor c3 subunit beta,
47581,integrin beta-2,
47582,itgb2,ORPHA:99842
47583,mfi7,
47584,2.5.1.58,
47585,2.5.1.59,
47586,caax farnesyltransferase subunit alpha,
47587,fnta,
47588,ftase-alpha,
47589,ggtase-i-alpha,
47590,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,
47591,ras proteins prenyltransferase subunit alpha,
47592,type i protein geranyl-geranyltransferase subunit alpha,
47593,2.5.1.58,
47594,caax farnesyltransferase subunit beta,
47595,fntb,
47596,ftase-beta,
47597,protein farnesyltransferase subunit beta,
47598,ras proteins prenyltransferase subunit beta,
47599,kcnc2,OMIM:619913
47600,potassium voltage-gated channel subfamily c member 2,
47601,shaw-like potassium channel,
47602,voltage-gated potassium channel kv3.2,
47603,calcium-activated neutral proteinase small subunit,
47604,calcium-dependent protease small subunit,
47605,calcium-dependent protease small subunit 1,
47606,calpain regulatory subunit,
47607,calpain small subunit 1,
47608,canp small subunit,
47609,capn4,
47610,capns,
47611,capns1,
47612,cdps,
47613,css1,
47614,3.4.22.52,
47615,calcium-activated neutral proteinase 1,
47616,calpain-1 catalytic subunit,
47617,calpain-1 large subunit,
47618,calpain mu-type,
47619,canp 1,
47620,canpl1,
47621,capn1,ORPHA:488594
47622,cell proliferation-inducing gene 30 protein,
47623,micromolar-calpain,
47624,mucanp,
47625,activation inducer molecule,
47626,aim,
47627,bl-ac/p26,
47628,cd69,
47629,cd_antigen=cd69,
47630,clec2c,
47631,c-type lectin domain family 2 member c,
47632,ea1,
47633,early activation antigen cd69,
47634,early t-cell activation antigen p60,
47635,gp32/28,
47636,leukocyte surface antigen leu-23,
47637,mlr-3,
47638,dishevelled-1,
47639,dsh homolog 1,
47640,dvl1,ORPHA:3107
47641,segment polarity protein dishevelled homolog dvl-1,
47642,2.7.11.1,
47643,2.7.11.26,
47644,2.7.11.31,
47645,5'-amp-activated protein kinase catalytic subunit alpha-1,
47646,acaca kinase,
47647,acetyl-coa carboxylase kinase,
47648,ampk1,
47649,ampk subunit alpha-1,
47650,hmgcr kinase,
47651,hydroxymethylglutaryl-coa reductase kinase,
47652,prkaa1,
47653,tau-protein kinase prkaa1,
47654,1.-.-.-,
47655,apk1 antigen,
47656,cova1,
47657,cytosolic ovarian carcinoma antigen 1,
47658,ecto-nox disulfide-thiol exchanger 2,
47659,enox2,
47660,hydroquinone [nadh] oxidase,
47661,protein disulfide-thiol oxidoreductase,
47662,tnox,
47663,tumor-associated hydroquinone oxidase,
47664,cardiac lineage protein 1,
47665,clp1,ORPHA:411493
47666,edg1,
47667,estrogen down-regulated gene 1 protein,
47668,hexamethylene bis-acetamide-inducible protein 1,
47669,hexim1,
47670,his1,
47671,maq1,
47672,menage a quatre protein 1,
47673,protein hexim1,
47674,heat shock 70 kda protein 14,
47675,heat shock protein hsp60,
47676,hsp60,
47677,hsp70l1,
47678,hsp70-like protein 1,
47679,hspa14,
47680,c19orf1,
47681,mitochondrial import receptor subunit tom40 homolog,
47682,p38.5,
47683,perec1,
47684,protein haymaker,
47685,tom40,
47686,tomm40,ORPHA:1020
47687,translocase of outer membrane 40 kda subunit homolog,
47688,scn4a,ORPHA:99734
47689,skm1,
47690,sodium channel protein skeletal muscle subunit alpha,
47691,sodium channel protein type 4 subunit alpha,
47692,sodium channel protein type iv subunit alpha,
47693,voltage-gated sodium channel subunit alpha nav1.4,
47694,2.4.3.6,
47695,"alpha 2,3-st 3",
47696,"beta-galactoside alpha-2,3-sialyltransferase 3",
47697,"cmp-n-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",
47698,"gal beta-1,3(4) glcnac alpha-2,3 sialyltransferase",
47699,"n-acetyllactosaminide alpha-2,3-sialyltransferase",
47700,sialyltransferase 6,
47701,siat6,
47702,st3gal3,ORPHA:3451
47703,st3galiii,
47704,st3gal iii,
47705,st3n,
47706,3.4.24.-,
47707,endometase,
47708,matrilysin-2,
47709,matrix metalloproteinase-26,
47710,mmp26,
47711,mmp-26,
47712,3.4.24.65,
47713,hme,
47714,hme,
47715,macrophage elastase,
47716,macrophage metalloelastase,
47717,matrix metalloproteinase-12,
47718,mme,ORPHA:69063
47719,mmp12,
47720,mmp-12,
47721,hcn3,
47722,kiaa1535,
47723,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,
47724,chrm1,
47725,muscarinic acetylcholine receptor m1,
47726,chrm2,
47727,muscarinic acetylcholine receptor m2,
47728,2.3.1.-,
47729,3.1.1.32,
47730,3.1.1.4,
47731,hras-like suppressor 4,
47732,hrsl4,
47733,phospholipase a and acyltransferase 4,
47734,plaat4,
47735,rarres3,
47736,rar-responsive protein tig3,
47737,retinoic acid receptor responder protein 3,
47738,retinoid-inducible gene 1 protein,
47739,rig1,
47740,synonyms=rarres3,
47741,tazarotene-induced gene 3 protein,
47742,tig3,
47743,3.4.21.10,
47744,acr,OMIM:620500
47745,acrosin,
47746,acrosin heavy chain,
47747,acrosin light chain,
47748,acrs,
47749,gamma-secretase subunit pen-2,
47750,pen2 ,
47751,presenilin enhancer protein 2,
47752,psenen,ORPHA:79145
47753,26s proteasome-associated pad1 homolog 1,
47754,26s proteasome non-atpase regulatory subunit 14,
47755,26s proteasome regulatory subunit rpn11,
47756,3.4.19.-,
47757,poh1,
47758,psmd14,
47759,3.1.3.48,
47760,protein-tyrosine phosphatase 1b,
47761,ptp1b,
47762,ptp-1b,
47763,ptpn1,OMIM:125853
47764,tyrosine-protein phosphatase non-receptor type 1,
47765,2.4.2.-,
47766,2.4.2.30,
47767,adp-ribosyltransferase diphtheria toxin-like 6,
47768,artd6,
47769,parp5b,
47770,poly [adp-ribose] polymerase 5b,
47771,poly [adp-ribose] polymerase tankyrase-2,
47772,protein poly-adp-ribosyltransferase tankyrase-2,
47773,synonyms=parp5b,
47774,tank2,
47775,tank2,
47776,tankyrase-2,
47777,tankyrase ii,
47778,tankyrase-like protein,
47779,tankyrase-related protein,
47780,tnkl,
47781,tnks2,
47782,tnks-2,
47783,trf1-interacting ankyrin-related adp-ribose polymerase 2,
47784,2.4.2.-,
47785,2.4.2.30,
47786,adp-ribosyltransferase diphtheria toxin-like 5,
47787,artd5,
47788,parp5a,
47789,parpl,
47790,poly [adp-ribose] polymerase 5a,
47791,poly [adp-ribose] polymerase tankyrase-1,
47792,protein poly-adp-ribosyltransferase tankyrase-1,
47793,synonyms=parp5a,
47794,tank1,
47795,tankyrase-1,
47796,tankyrase i,
47797,tin1,
47798,tinf1,
47799,tnks,
47800,tnks1,
47801,tnks-1,
47802,trf1-interacting ankyrin-related adp-ribose polymerase,
47803,cdgsh2,
47804,cdgsh iron-sulfur domain-containing protein 2,
47805,cisd2,ORPHA:3463
47806,endoplasmic reticulum intermembrane small protein,
47807,eris,
47808,miner1,
47809,mitoneet-related 1 protein,
47810,naf-1,
47811,nutrient-deprivation autophagy factor-1,
47812,zcd2,
47813,oatp3a1,
47814,oatp3a1,
47815,oatpd,
47816,oatp-d,
47817,oatprp3,
47818,oatp-rp3,
47819,organic anion transporter polypeptide-related protein 3,
47820,organic anion-transporting polypeptide d,
47821,pge1 transporter,
47822,slc21a11,
47823,slco3a1,
47824,sodium-independent organic anion transporter d,
47825,solute carrier family 21 member 11,
47826,solute carrier organic anion transporter family member 3a1,
47827,thyroliberin receptor,
47828,thyrotropin-releasing hormone receptor,
47829,trhr,ORPHA:99832
47830,trh-r,
47831,kiaa1449,
47832,p80,
47833,synonyms=kiaa1449,
47834,uaf1,
47835,uaf1 gn  ,
47836,usp1-associated factor 1,
47837,wdr48,ORPHA:401800
47838,wd repeat-containing protein 48,
47839,wd repeat endosomal protein,
47840,protein dmr,
47841,wdr20,
47842,wd repeat-containing protein 20,
47843,3.4.19.12,
47844,deubiquitinating enzyme 12,
47845,ubh1,
47846,ubiquitin carboxyl-terminal hydrolase 12,
47847,ubiquitin-hydrolyzing enzyme 1,
47848,ubiquitin-specific-processing protease 12,
47849,ubiquitin thioesterase 12,
47850,usp12,
47851,usp12l1,
47852,hcnp,
47853,hcnppp,
47854,hippocampal cholinergic neurostimulating peptide,
47855,neuropolypeptide h3,
47856,pbp,
47857,pebp,
47858,pebp1,
47859,pebp-1,
47860,phosphatidylethanolamine-binding protein 1,
47861,prostatic-binding protein,
47862,raf kinase inhibitor protein,
47863,rkip,
47864,1.1.1.105,
47865,1.1.1.209,
47866,1.1.1.53,
47867,3-alpha-hsd,
47868,3-alpha hydroxysteroid dehydrogenase,
47869,dehydrogenase/reductase sdr family member 9,
47870,dhrs9,
47871,nadp-dependent retinol dehydrogenase/reductase,
47872,rdh15,
47873,rdh-e2,
47874,rdhl,
47875,rdh-tbe,
47876,retinol dehydrogenase 15,
47877,sdr9c4,
47878,short chain dehydrogenase/reductase family 9c member 4,
47879,short-chain dehydrogenase/reductase retsdr8,
47880,tracheobronchial epithelial cell-specific retinol dehydrogenase,
47881,3.1.4.17,
47882,61 kda cam-pde,
47883,cam-pde 1a,
47884,"dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1a",
47885,hcam-1,
47886,pde1a,
47887,3.1.4.17,
47888,63 kda cam-pde,
47889,cam-pde 1b,
47890,"dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1b",
47891,pde1b,
47892,pde1b1,
47893,pdes1b,
47894,3.1.4.17,
47895,cam-pde 1c,
47896,"dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1c",
47897,hcam3,
47898,pde1c,ORPHA:90635
47899,3.1.-.-,
47900,biphenyl hydrolase-like protein,
47901,biphenyl hydrolase-related protein,
47902,bphl,
47903,bph-rp,
47904,breast epithelial mucin-associated antigen,
47905,mcnaa,
47906,mcnaa,
47907,vacvase,
47908,valacyclovirase,
47909,valacyclovir hydrolase,
47910,dnaj2,
47911,dnaja1,
47912,dnaj homolog subfamily a member 1,
47913,dnaj protein homolog 2,
47914,hdj-2,
47915,hdj2,
47916,heat shock 40 kda protein 4,
47917,heat shock protein j2,
47918,hsdj,
47919,hsj2,
47920,hsj-2,
47921,hspf4,
47922,human dnaj protein 2,
47923,gcgr,ORPHA:438274
47924,gl-r,
47925,glucagon receptor,
47926,2.7.10.2,
47927,jak3,ORPHA:35078
47928,jak-3,
47929,janus kinase 3,
47930,leukocyte janus kinase,
47931,l-jak,
47932,tyrosine-protein kinase jak3,
47933,2.7.10.2,
47934,jak1,ORPHA:574957
47935,jak-1,
47936,jak1a,
47937,jak1b,
47938,janus kinase 1,
47939,tyrosine-protein kinase jak1,
47940,d(2) dopamine receptor,
47941,dopamine d2 receptor,
47942,drd2,ORPHA:36899
47943,d(3) dopamine receptor,
47944,dopamine d3 receptor,
47945,drd3,ORPHA:862
47946,gcnf,
47947,gcnf,
47948,germ cell nuclear factor,
47949,hgcnf,
47950,hrtr,
47951,nr6a1,
47952,nuclear receptor subfamily 6 group a member 1,
47953,retinoid receptor-related testis-specific receptor,
47954,rtr,
47955,cold shock domain-containing protein a,
47956,csda,
47957,dbpa,
47958,dna-binding protein a,
47959,single-strand dna-binding protein nf-gmb,
47960,y-box-binding protein 3,
47961,ybx3,
47962,cd_antigen=cd366,
47963,havcr-2,
47964,havcr2,ORPHA:86884
47965,hepatitis a virus cellular receptor 2,
47966,t-cell immunoglobulin and mucin domain-containing protein 3,
47967,t-cell immunoglobulin mucin receptor 3,
47968,t-cell membrane protein 3,
47969,tim3,
47970,tim-3,
47971,timd3,
47972,timd-3,
47973,clec6a,
47974,clecsf10,
47975,c-type lectin domain family 6 member a,
47976,c-type lectin superfamily member 10,
47977,dc-associated c-type lectin 2,
47978,dectin-2,
47979,dectin2,
47980,dectin2 {eco:0000303|pubmed:15175046,
47981,dendritic cell-associated c-type lectin 2,
47982,synonyms=clecsf10,
47983,eag-related protein 2,
47984,erg2,
47985,erg-2,
47986,ether-a-go-go-related gene potassium channel 2,
47987,ether-a-go-go-related protein 2,
47988,herg2,
47989,herg-2,
47990,kcnh6,
47991,potassium voltage-gated channel subfamily h member 6,
47992,voltage-gated potassium channel subunit kv11.2,
47993,vascular endothelial growth factor b,
47994,vegfb,
47995,vegf-b,
47996,vegf-related factor,
47997,vrf,
47998,vrf,
47999,cd32,
48000,cd_antigen=cd32,
48001,cdw32,
48002,fcg2,
48003,fc-gamma rii-b,
48004,fc-gamma-riib,
48005,fcgr2b,ORPHA:536
48006,fcrii-b,
48007,igfr2,
48008,igg fc receptor ii-b,
48009,low affinity immunoglobulin gamma fc region receptor ii-b,
48010,3.1.3.48,
48011,lar,
48012,lar,
48013,leukocyte common antigen related,
48014,ptprf,ORPHA:180188
48015,receptor-type tyrosine-protein phosphatase f,
48016,1.5.1.34,
48017,dhpr,
48018,dihydropteridine reductase,
48019,hdhpr,
48020,qdpr,ORPHA:226
48021,quinoid dihydropteridine reductase,
48022,sdr33c1,
48023,short chain dehydrogenase/reductase family 33c member 1,
48024,2.7.11.21,
48025,plk4,ORPHA:808
48026,plk-4,
48027,polo-like kinase 4,
48028,sak,
48029,serine/threonine-protein kinase 18,
48030,serine/threonine-protein kinase plk4,
48031,serine/threonine-protein kinase sak,
48032,stk18,
48033,ally of aml-1 and lef-1,
48034,aly,
48035,alyref,
48036,aly/ref export factor,
48037,bef,
48038,bzip-enhancing factor bef,
48039,tho4,
48040,thoc4,
48041,tho complex subunit 4,
48042,transcriptional coactivator aly/ref,
48043,cd_antigen=cd284,
48044,htoll,
48045,tlr4,ORPHA:117
48046,toll-like receptor 4,
48047,2.4.1.-,
48048,3.2.1.-,
48049,3.2.1.45,
48050,3.2.1.46,
48051,acid beta-glucosidase,
48052,alglucerase,
48053,beta-gc,
48054,beta-glucocerebrosidase,
48055,beta-glucosylceramidase 1,
48056,cholesterol glucosyltransferase,
48057,cholesteryl-beta-glucosidase,
48058,d-glucosyl-n-acylsphingosine glucohydrolase,
48059,gba,
48060,gba1,ORPHA:2072
48061,gc,
48062,gluc,
48063,glucosylceramidase beta 1,
48064,imiglucerase,
48065,lysosomal acid gcase,
48066,lysosomal acid glucosylceramidase,
48067,lysosomal cholesterol glycosyltransferase,
48068,lysosomal galactosylceramidase,
48069,lysosomal glycosylceramidase,
48070,sgtase,
48071,1.5.1.15,
48072,1.5.1.5,
48073,3.5.4.9,
48074,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial",
48075,methenyltetrahydrofolate cyclohydrolase,
48076,mthfd2l,
48077,mthfd2-like,
48078,nad-dependent methylenetetrahydrofolate dehydrogenase,
48079,nadp-dependent methylenetetrahydrofolate dehydrogenase 2-like protein,
48080,5.3.4.1,
48081,pancreas-specific protein disulfide isomerase,
48082,pdia2,
48083,pdip,
48084,pdip,
48085,protein disulfide-isomerase a2,
48086,adenylate cyclase-inhibiting g alpha protein,
48087,gnai1,OMIM:619854
48088,guanine nucleotide-binding protein g(i) subunit alpha-1,
48089,regulator of g-protein signaling 12,
48090,rgs12,
48091,rgs12,
48092,3.2.2.6,
48093,c3orf13,
48094,il1r3,
48095,il-1r3,
48096,il-1r-3,
48097,il-1racp,
48098,il1rap,
48099,il-1 receptor accessory protein,
48100,interleukin-1 receptor 3,
48101,interleukin-1 receptor accessory protein,
48102,3.2.2.6,
48103,der4,
48104,il1rl1,
48105,interleukin-1 receptor-like 1,
48106,protein st2,
48107,st2,
48108,t1,
48109,calcitonin receptor,
48110,calcr,OMIM:166710
48111,ct-r,
48112,calcitonin-receptor-like receptor activity-modifying protein 1,
48113,crlr activity-modifying protein 1,
48114,ramp1,
48115,receptor activity-modifying protein 1,
48116,2.7.11.1,
48117,serine/threonine-protein kinase 32b,
48118,stk32b,
48119,yank2,
48120,yet another novel kinase 2,
48121,osteostatin,
48122,parathyroid hormone-like protein,
48123,parathyroid hormone-related protein,
48124,plp,
48125,pthlh,ORPHA:93387
48126,pthrp,
48127,pth-rp,
48128,pthrp,
48129,pthrp[107-139],
48130,pthrp[1-36],
48131,pthrp[38-94],
48132,2.7.11.22,
48133,2.7.11.23,
48134,cdc2,
48135,cdc28a,
48136,cdk1,
48137,cdk1,
48138,cdkn1,
48139,cell division control protein 2 homolog,
48140,cell division protein kinase 1,
48141,cyclin-dependent kinase 1,
48142,p34cdc2,
48143,p34 protein kinase,
48144,2.7.11.22,
48145,cdk4,ORPHA:618
48146,cell division protein kinase 4,
48147,cyclin-dependent kinase 4,
48148,psk-j3,
48149,lamb1,ORPHA:352682
48150,laminin-10 subunit beta,
48151,laminin-12 subunit beta,
48152,laminin-1 subunit beta,
48153,laminin-2 subunit beta,
48154,laminin-6 subunit beta,
48155,laminin-8 subunit beta,
48156,laminin b1 chain,
48157,laminin subunit beta-1,
48158,crbn,ORPHA:88616
48159,protein cereblon,
48160,3.4.17.15,
48161,carboxypeptidase a2,
48162,cpa2,
48163,2.7.11.19,
48164,phkg2,ORPHA:264580
48165,phk-gamma-lt,
48166,phk-gamma-t,
48167,"phosphorylase b kinase gamma catalytic chain, liver/testis isoform",
48168,phosphorylase kinase subunit gamma-2,
48169,psk-c3,
48170,phka,
48171,phka1,ORPHA:715
48172,"phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",
48173,phosphorylase kinase alpha m subunit,
48174,phka2,ORPHA:264580
48175,phkla,
48176,"phosphorylase b kinase regulatory subunit alpha, liver isoform",
48177,phosphorylase kinase alpha l subunit,
48178,pyk,
48179,phkb,ORPHA:79240
48180,phosphorylase b kinase regulatory subunit beta,
48181,phosphorylase kinase subunit beta,
48182,2.7.11.1,
48183,2.7.11.19,
48184,2.7.11.26,
48185,phkg,
48186,phkg1,ORPHA:715
48187,phk-gamma-m,
48188,"phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",
48189,phosphorylase kinase subunit gamma-1,
48190,serine/threonine-protein kinase phkg1,
48191,3.5.1.-,
48192,3.5.1.98,
48193,hd3,
48194,hdac3,
48195,histone deacetylase 3,
48196,protein deacetylase hdac3,
48197,protein deacylase hdac3,
48198,rpd3-2,
48199,smap45,
48200,ctg26,
48201,ctg repeat protein 26,
48202,n-cor2,
48203,ncor2,
48204,nuclear receptor corepressor 2,
48205,silencing mediator of retinoic acid and thyroid hormone receptor,
48206,smap270,
48207,smrt,
48208,t3 receptor-associating factor,
48209,"thyroid-, retinoic-acid-receptor-associated corepressor",
48210,trac,ORPHA:397959
48211,2.7.11.21,
48212,hplk2,
48213,hsnk,
48214,plk2,
48215,plk-2,
48216,polo-like kinase 2,
48217,serine/threonine-protein kinase plk2,
48218,serine/threonine-protein kinase snk,
48219,serum-inducible kinase,
48220,snk,
48221,uncharacterized protein flj45252,
48222,2-phospho-d-glycerate hydro-lyase,
48223,4.2.1.11,
48224,alpha-enolase,
48225,c-myc promoter-binding protein,
48226,eno1,
48227,eno1l1,
48228,enolase 1,
48229,mbp-1,
48230,mbpb1,
48231,mpb1,
48232,mpb-1,
48233,nne,
48234,non-neural enolase,
48235,phosphopyruvate hydratase,
48236,plasminogen-binding protein,
48237,3.6.4.12,
48238,cdc46,
48239,cdc46 homolog,
48240,dna replication licensing factor mcm5,
48241,mcm5,OMIM:617564
48242,p1-cdc46,
48243,1.3.1.91,
48244,dihydrouridine synthase 2,
48245,dus2,
48246,dus2l,
48247,hdus2,
48248,trna-dihydrouridine(20) synthase [nad(p)+]-like,
48249,trna-dihydrouridine synthase 2-like,
48250,up-regulated in lung cancer protein 8,
48251,urlc8,
48252,3.5.1.-,
48253,3.5.1.98,
48254,hd1,
48255,hdac1,
48256,histone deacetylase 1,
48257,protein deacetylase hdac1,
48258,protein decrotonylase hdac1,
48259,rpd3l1,
48260,synonyms=rpd3l1,
48261,3.5.1.-,
48262,3.5.1.98,
48263,hd3,
48264,hdac3,
48265,histone deacetylase 3,
48266,protein deacetylase hdac3,
48267,protein deacylase hdac3,
48268,rpd3-2,
48269,smap45,
48270,3.5.1.98,
48271,antigen ny-co-9,
48272,hd5,
48273,hdac5,
48274,histone deacetylase 5,
48275,kiaa0600,
48276,3.5.1.-,
48277,3.5.1.98,
48278,hd8,
48279,hdac8,ORPHA:3459
48280,hdacl1 ,
48281,histone deacetylase 8,
48282,protein deacetylase hdac8,
48283,protein decrotonylase hdac8,
48284,2.7.1.113,
48285,2.7.1.76,
48286,"deoxyadenosine kinase, mitochondrial",
48287,"deoxyguanosine kinase, mitochondrial",
48288,dgk,
48289,dguok,ORPHA:279934
48290,crbn,ORPHA:88616
48291,protein cereblon,
48292,fam3c,
48293,ilei ,
48294,interleukin-like emt inducer,
48295,protein fam3c,
48296,corticotropin-releasing factor receptor 2,
48297,corticotropin-releasing hormone receptor 2,
48298,crf2r,
48299,crf-r2,
48300,crf-r-2,
48301,crfr-2,
48302,crh2r,
48303,crhr2,
48304,crh-r2,
48305,crh-r-2,
48306,7.1.1.2,
48307,mtnd4,
48308,mt-nd4,ORPHA:99718
48309,nadh4,
48310,nadh dehydrogenase subunit 4,
48311,nadh-ubiquinone oxidoreductase chain 4,
48312,nd4,
48313,brd2,
48314,bromodomain-containing protein 2,
48315,kiaa9001,
48316,o27.1.1,
48317,really interesting new gene 3 protein,
48318,ring3,
48319,crbn,ORPHA:88616
